screen_name,user_name,status_id,url,actual_url,title,published_date,retweeted,retweet_screen_name,retweet_user_name
"nurul_nbt95","Basit","1003328766225965056","Not Available","Not Available","RT @iamzulinaziz: https://t.co/EEXabEtbr8","Mon Jun 04 01:33:13 SGT 2018","true","iamzulinaziz","ZulinAziz"
"nurul_nbt95","Basit","1003328776460066816","Not Available","Not Available","RT @sheikh_anon: Shut In / The Intruders (Thriller,2016)

Sekumpulan perompak yang merompak rumah perempuan, tapi diorang pulak kena game d…","Mon Jun 04 01:33:15 SGT 2018","true","sheikh_anon","sheikh anon"
"nurul_nbt95","Basit","1003328818117947394","Not Available","Not Available","RT @projekpuisifar: 3. Burung apa? Burung Murai. Burung apa? Burung Murai. Probably the most famous one sebab banyak sangat parody iklan ni…","Mon Jun 04 01:33:25 SGT 2018","true","projekpuisifar","#TeamRayaKampung"
"ImanAbdulRahim","Iman","1003328820408025088","https://t.co/5DnOY3jqXH","null","Baca kat sini dulu. Kalau takde baru tanya. Nanti I nangis!! Hahaha https://t.co/5DnOY3jqXH","Mon Jun 04 01:33:26 SGT 2018","false","Not Available","Not Available"
"nurul_nbt95","Basit","1003328882085249024","Not Available","Not Available","RT @XavierNaxa: Tahukah anda membuang aplikasi pada iOS/Android akan mengakibatkan bateri lebih cepat turun? 

Ia disahkan sendiri oleh Cra…","Mon Jun 04 01:33:41 SGT 2018","true","XavierNaxa","xaviernaxa ??"
"ImanAbdulRahim","Iman","1003328935873003521","https://t.co/bc5TFNX2zX","null","Tunggu absorb 30secs - 1 min dah enough :) https://t.co/bc5TFNX2zX","Mon Jun 04 01:33:53 SGT 2018","false","Not Available","Not Available"
"ImanAbdulRahim","Iman","1003329188097490944","https://t.co/DSDVD9lvyy","null","Cari soothing ingredients. Thread kat tweet berikutnya https://t.co/DSDVD9lvyy","Mon Jun 04 01:34:54 SGT 2018","false","Not Available","Not Available"
"ImanAbdulRahim","Iman","1003329276261744640","https://t.co/mOagiwu9Yq","null","Soothing ingredients https://t.co/mOagiwu9Yq","Mon Jun 04 01:35:15 SGT 2018","false","Not Available","Not Available"
"ImanAbdulRahim","Iman","1003329583439990784","https://t.co/Xm6w6Gv5f2","null","Honestly I okay je kalau kulit tak sensitive. I beli sponge kat Mr DIY. Tapi ofcourse kualiti tak best la ? https://t.co/Xm6w6Gv5f2","Mon Jun 04 01:36:28 SGT 2018","false","Not Available","Not Available"
"ImanAbdulRahim","Iman","1003329658262130689","https://t.co/jy2rAGIxvh","null","Alpha arbutin kalau malas nak deal with purging https://t.co/jy2rAGIxvh","Mon Jun 04 01:36:46 SGT 2018","false","Not Available","Not Available"
"ImanAbdulRahim","Iman","1003329856866639872","https://t.co/sSWz4Pb8OU","null","I selalu pedih pakai Banana Boat. So Im not sure ok ke tak. And it’s a bit greasy and melekit gitu kan? https://t.co/sSWz4Pb8OU","Mon Jun 04 01:37:33 SGT 2018","false","Not Available","Not Available"
"ImanAbdulRahim","Iman","1003330029395144704","https://t.co/29ug9qzrqL","null","MUJI! https://t.co/29ug9qzrqL","Mon Jun 04 01:38:14 SGT 2018","false","Not Available","Not Available"
"nurul_nbt95","Basit","1003330161247285248","Not Available","Not Available","vsbsbsvxbssn","Mon Jun 04 01:38:46 SGT 2018","false","Not Available","Not Available"
screen_name,user_name,status_id,url,actual_url,title,published_date,retweeted,retweet_screen_name,retweet_user_name
"nurul_nbt95","Basit","1003330161247285248","Not Available","Not Available","vsbsbsvxbssn","Mon Jun 04 01:38:46 SGT 2018","false","Not Available","Not Available"
"ImanAbdulRahim","Iman","1003330290087948288","https://t.co/IOiGqtwGAY","null","Smelly No More, Dr Mist. Tapi dia tak control peluh so kalau biasa pakai deodorant yg control peluh, maybe nnt ketiak akan basah la. Tapi tak berbau https://t.co/IOiGqtwGAY","Mon Jun 04 01:39:16 SGT 2018","false","Not Available","Not Available"
"ImanAbdulRahim","Iman","1003330290087948288","https://t.co/IOiGqtwGAY","null","Smelly No More, Dr Mist. Tapi dia tak control peluh so kalau biasa pakai deodorant yg control peluh, maybe nnt ketiak akan basah la. Tapi tak berbau https://t.co/IOiGqtwGAY","Mon Jun 04 01:39:16 SGT 2018","false","Not Available","Not Available"
"ImanAbdulRahim","Iman","1003330331569602560","Not Available","Not Available","RT @advsf_: @ImanAbdulRahim Boleh tak tolong tanya followers iman, acne prone skin people biasa pakai mosturiser apa yg tak bgi naik pimple…","Mon Jun 04 01:39:26 SGT 2018","true","advsf_","BVNGDI"
"ImanAbdulRahim","Iman","1003330331569602560","Not Available","Not Available","RT @advsf_: @ImanAbdulRahim Boleh tak tolong tanya followers iman, acne prone skin people biasa pakai mosturiser apa yg tak bgi naik pimple…","Mon Jun 04 01:39:26 SGT 2018","true","advsf_","BVNGDI"
"ImanAbdulRahim","Iman","1003330527779147777","https://t.co/WbWZ32LwtN","null","Vit C (LAA) je yg I letak dalam peti. Yang lain tak perlu pun https://t.co/WbWZ32LwtN","Mon Jun 04 01:40:13 SGT 2018","false","Not Available","Not Available"
"ImanAbdulRahim","Iman","1003330527779147777","https://t.co/WbWZ32LwtN","null","Vit C (LAA) je yg I letak dalam peti. Yang lain tak perlu pun https://t.co/WbWZ32LwtN","Mon Jun 04 01:40:13 SGT 2018","false","Not Available","Not Available"
"ImanAbdulRahim","Iman","1003330598499278848","https://t.co/gqpp8rFvAp","null","Siapa pernah try? https://t.co/gqpp8rFvAp","Mon Jun 04 01:40:30 SGT 2018","false","Not Available","Not Available"
"ImanAbdulRahim","Iman","1003330598499278848","https://t.co/gqpp8rFvAp","null","Siapa pernah try? https://t.co/gqpp8rFvAp","Mon Jun 04 01:40:30 SGT 2018","false","Not Available","Not Available"
screen_name,user_name,status_id,url,actual_url,title,published_date,retweeted,retweet_screen_name,retweet_user_name
"ImanAbdulRahim","Iman","1003330598499278848","https://t.co/gqpp8rFvAp","null","Siapa pernah try? https://t.co/gqpp8rFvAp","Mon Jun 04 01:40:30 SGT 2018","false","Not Available","Not Available"
"nurul_nbt95","Basit","1003330615175929857","Not Available","Not Available","bsbsbbs","Mon Jun 04 01:40:34 SGT 2018","false","Not Available","Not Available"
"nurul_nbt95","Basit","1003330615175929857","Not Available","Not Available","bsbsbbs","Mon Jun 04 01:40:34 SGT 2018","false","Not Available","Not Available"
"nurul_nbt95","Basit","1003330615175929857","Not Available","Not Available","bsbsbbs","Mon Jun 04 01:40:34 SGT 2018","false","Not Available","Not Available"
"ImanAbdulRahim","Iman","1003330872932618240","https://t.co/XQplVBTx82","null","Selagi tak pedih, ketat, tak selesa or pelik pelik, maybe ok je. Kulit dry tu maybe sebab environment. Tapi kalau tak selesa, maybe sebab lain https://t.co/XQplVBTx82","Mon Jun 04 01:41:35 SGT 2018","false","Not Available","Not Available"
"ImanAbdulRahim","Iman","1003330872932618240","https://t.co/XQplVBTx82","null","Selagi tak pedih, ketat, tak selesa or pelik pelik, maybe ok je. Kulit dry tu maybe sebab environment. Tapi kalau tak selesa, maybe sebab lain https://t.co/XQplVBTx82","Mon Jun 04 01:41:35 SGT 2018","false","Not Available","Not Available"
"ImanAbdulRahim","Iman","1003330872932618240","https://t.co/XQplVBTx82","null","Selagi tak pedih, ketat, tak selesa or pelik pelik, maybe ok je. Kulit dry tu maybe sebab environment. Tapi kalau tak selesa, maybe sebab lain https://t.co/XQplVBTx82","Mon Jun 04 01:41:35 SGT 2018","false","Not Available","Not Available"
"ImanAbdulRahim","Iman","1003331033809412096","https://t.co/JKjDh9rA0m","null","Ada thread dah! About kulit kusam and brightening ingredients :) https://t.co/JKjDh9rA0m","Mon Jun 04 01:42:14 SGT 2018","false","Not Available","Not Available"
screen_name,user_name,status_id,url,actual_url,title,published_date,retweeted,retweet_screen_name,retweet_user_name
"Nakborak","??Nak Borak","1003334904422125568","Not Available","Not Available","Always remember to fall asleep with a dream and wake up with a purpose! Good night! ?","Mon Jun 04 01:57:36 SGT 2018","false","Not Available","Not Available"
screen_name,user_name,status_id,url,actual_url,title,published_date,retweeted,retweet_screen_name,retweet_user_name
"nurul_nbt95","Basit","1003335483655577600","Not Available","Not Available","RT @aymeemin: Tadi di Plaza Tol LDP Sg. Penchala, ada kereta stuck di laluan tol T&G. Agaknya card tak ada sufficient balance. Di Msia Lama…","Mon Jun 04 01:59:55 SGT 2018","true","aymeemin","?Min?"
"nurul_nbt95","Basit","1003335499195400193","Not Available","Not Available","RT @WannaOne_twt: Wanna One????GO: X-CON

<???GO: X-CON> ??? ?? ? ??!
6/4(?) ?? 8?! ???? ?? ?????

?????? ???? ?? ?? ????!
?WANNAONE GO: X-…","Mon Jun 04 01:59:58 SGT 2018","true","WannaOne_twt","Wanna One"
"nurul_nbt95","Basit","1003335523102912512","Not Available","Not Available","RT @zulfqr91: Kagum dengan manusia itu takpe tapi jangan taksub. Fitrah adam itu tak lari dari perjalanan cerita tentang syurga dan neraka.…","Mon Jun 04 02:00:04 SGT 2018","true","zulfqr91","Zul Hensem Bapak"
screen_name,user_name,status_id,url,actual_url,title,published_date,retweeted,retweet_screen_name,retweet_user_name
"nurul_nbt95","Basit","1003336014419525632","Not Available","Not Available","RT @WannaOne_twt: Wanna One????GO: X-CON

<???GO: X-CON> ??? ?? ? ??!
6/4(?) ?? 8?! ???? ?? ?????

?????? ???? ?? ?? ????!
?WANNAONE GO: X-…","Mon Jun 04 02:02:01 SGT 2018","true","WannaOne_twt","Wanna One"
"nurdiyana431","yana®","1003336087639486464","Not Available","Not Available","RT @aymeemin: Tadi di Plaza Tol LDP Sg. Penchala, ada kereta stuck di laluan tol T&G. Agaknya card tak ada sufficient balance. Di Msia Lama…","Mon Jun 04 02:02:19 SGT 2018","true","aymeemin","?Min?"
"nurdiyana431","yana®","1003336147873890306","Not Available","Not Available","RT @ShaykhAzhar: My deepest condolences to the family of our sister Razan al-Najjar. 

She was a 21 year old Palestinian nurse who was shot…","Mon Jun 04 02:02:33 SGT 2018","true","ShaykhAzhar","Shaykh Azhar Nasser"
"nurdiyana431","yana®","1003336184943136770","Not Available","Not Available","RT @sakasuchan: Setiap kali aku rasa nak nak membalas tweet2 yang bodoh, racist, and etc aku patut tweet "sesungguhnya Rasulullah diutus un…","Mon Jun 04 02:02:42 SGT 2018","true","sakasuchan","shuhaida"
"amad5148","amad","1003336199749042176","Not Available","Not Available","RT @kusyuk: Dah 18 hari ramadahan berlalu. Selasa ni bermula 10 malam yang terakhir. 

Doa:

?????????? ????? ??????? ??????? ????????? ???…","Mon Jun 04 02:02:45 SGT 2018","true","kusyuk","kusyuk"
"ImanAbdulRahim","Iman","1003336430385393664","Not Available","Not Available","RT @ArisyaMaisarahh: haha yes, haritu i pergi class skincare mary kay. dia kata sunscreen letak sikit je, sikit tu mcm amount moisturizer.…","Mon Jun 04 02:03:40 SGT 2018","true","ArisyaMaisarahh","?"
screen_name,user_name,status_id,url,actual_url,title,published_date,retweeted,retweet_screen_name,retweet_user_name
"nurul_nbt95","Basit","1003342137365184512","Not Available","Not Available","RT @soulzoul: Pergi Jalan TAR semalam just to experience it after years of not setting my foot there. Aku hairan mak bapak bawak anak umur…","Mon Jun 04 02:26:21 SGT 2018","true","soulzoul","Sheikh Ya Booty"
screen_name,user_name,status_id,url,actual_url,title,published_date,retweeted,retweet_screen_name,retweet_user_name
"nurul_nbt95","Basit","1003343751572385792","Not Available","Not Available","RT @SantapanMinda: Usah bandingkan diri anda dengan orang lain, ada sebabnya mengapa anda mempunyai ciri-ciri unik tersebut. #QuranHour","Mon Jun 04 02:32:46 SGT 2018","true","SantapanMinda","Santapan Minda"
"nurdiyana431","yana®","1003343848288894976","Not Available","Not Available","RT @SantapanMinda: Usah bandingkan diri anda dengan orang lain, ada sebabnya mengapa anda mempunyai ciri-ciri unik tersebut. #QuranHour","Mon Jun 04 02:33:09 SGT 2018","true","SantapanMinda","Santapan Minda"
"nurdiyana431","yana®","1003343892161286145","Not Available","Not Available","Zinnirah","Mon Jun 04 02:33:19 SGT 2018","false","Not Available","Not Available"
"nurdiyana431","yana®","1003343955965063168","Not Available","Not Available","RT @nurdiyana431: Hello","Mon Jun 04 02:33:34 SGT 2018","true","nurdiyana431","yana®"
